des(0, 17109, 19683)
(17641, "x6", 18370)
(18370, "x-won", 19683)
(4438, "x5", 4681)
(4681, "o1", 4687)
(4681, "o4", 4843)
(4681, "o6", 6139)
(4681, "o8", 17803)
(17803, "x1", 17806)
(17803, "x4", 17884)
(17803, "x6", 18532)
(18532, "o1", 18538)
(18532, "o4", 18694)
(4438, "x6", 5167)
(5167, "o1", 5173)
(5167, "o4", 5329)
(5167, "o5", 5653)
(5167, "o8", 18289)
(18289, "x1", 18292)
(18289, "x4", 18370)
(18289, "x5", 18532)
(4438, "x8", 10999)
(10999, "o1", 11005)
(10999, "o4", 11161)
(10999, "o5", 11485)
(10999, "o6", 12457)
(64, "o8", 13186)
(13186, "x1", 13189)
(13186, "x4", 13267)
(13267, "o1", 13273)
(13267, "o5", 13753)
(13267, "o6", 14725)
(13267, "o7", 17641)
(13186, "x5", 13429)
(13429, "o1", 13435)
(13429, "o4", 13591)
(13429, "o6", 14887)
(13429, "o7", 17803)
(13186, "x6", 13915)
(13915, "o1", 13921)
(13915, "o4", 14077)
(13915, "o5", 14401)
(13915, "o7", 18289)
(13186, "x7", 15373)
(15373, "o1", 15379)
(15373, "o4", 15535)
(15373, "o5", 15859)
(15373, "o6", 16831)
(55, "x4", 136)
(136, "o1", 142)
(136, "o2", 154)
(136, "o5", 622)
(622, "x1", 625)
(622, "x2", 631)
(622, "x6", 1351)
(1351, "o1", 1357)
(1351, "o2", 1369)
(1351, "o7", 5725)
(5725, "x1", 5728)
(5725, "x2", 5734)
(5725, "x8", 12286)
(12286, "x-won", 19683)
(1351, "o8", 14473)
(14473, "x1", 14476)
(14473, "x2", 14482)
(14473, "x7", 16660)
(16660, "o1", 16666)
(16660, "o2", 16678)
(622, "x7", 2809)
(2809, "o1", 2815)
(2809, "o2", 2827)
(2809, "o6", 4267)
(4267, "x1", 4270)
(4267, "x2", 4276)
(4267, "x8", 10828)
(10828, "x-won", 19683)
(2809, "o8", 15931)
(15931, "x1", 15934)
(15931, "x2", 15940)
(15931, "x6", 16660)
(622, "x8", 7183)
(7183, "x-won", 19683)
(136, "o6", 1594)
(1594, "x1", 1597)
(1594, "x2", 1603)
(1594, "x5", 1837)
(1837, "o1", 1843)
(1837, "o2", 1855)
(1837, "o7", 6211)
(6211, "x1", 6214)
(6211, "x2", 6220)
(6211, "x8", 12772)
(12772, "x-won", 19683)
(1837, "o8", 14959)
(14959, "x1", 14962)
(14959, "x2", 14968)
(14959, "x7", 17146)
(17146, "o1", 17152)
(17146, "o2", 17164)
(1594, "x7", 3781)
(3781, "o1", 3787)
(3781, "o2", 3799)
(3781, "o5", 4267)
(3781, "o8", 16903)
(16903, "x1", 16906)
(16903, "x2", 16912)
(16903, "x5", 17146)
(1594, "x8", 8155)
(8155, "x-won", 19683)
(136, "o7", 4510)
(4510, "x1", 4513)
(4510, "x2", 4519)
(4510, "x5", 4753)
(4753, "o1", 4759)
(4753, "o2", 4771)
(4753, "o6", 6211)
(4753, "o8", 17875)
(17875, "x1", 17878)
(17875, "x2", 17884)
(17875, "x6", 18604)
(18604, "o1", 18610)
(18604, "o2", 18622)
(4510, "x6", 5239)
(5239, "o1", 5245)
(5239, "o2", 5257)
(5239, "o5", 5725)
(5239, "o8", 18361)
(18361, "x1", 18364)
(18361, "x2", 18370)
(18361, "x5", 18604)
(4510, "x8", 11071)
(11071, "x-won", 19683)
(136, "o8", 13258)
(13258, "x1", 13261)
(13258, "x2", 13267)
(13258, "x5", 13501)
(13501, "o1", 13507)
(13501, "o2", 13519)
(13501, "o6", 14959)
(13501, "o7", 17875)
(13258, "x6", 13987)
(13987, "o1", 13993)
(13987, "o2", 14005)
(13987, "o5", 14473)
(13987, "o7", 18361)
(13258, "x7", 15445)
(15445, "o1", 15451)
(15445, "o2", 15463)
(15445, "o5", 15931)
(15445, "o6", 16903)
(55, "x5", 298)
(298, "o1", 304)
(298, "o2", 316)
(298, "o4", 460)
(460, "x1", 463)
(460, "x2", 469)
(460, "x6", 1189)
(1189, "o1", 1195)
(1189, "o2", 1207)
(1189, "o7", 5563)
(5563, "x1", 5566)
(5563, "x2", 5572)
(5563, "x8", 12124)
(12124, "o1", 12130)
(12124, "o2", 12142)
(1189, "o8", 14311)
(14311, "x1", 14314)
(14311, "x2", 14320)
(14311, "x7", 16498)
(16498, "o1", 16504)
(16498, "o2", 16516)
(460, "x7", 2647)
(2647, "o1", 2653)
(2647, "o2", 2665)
(2647, "o6", 4105)
(4105, "x1", 4108)
(4105, "x2", 4114)
(4105, "x8", 10666)
(10666, "o1", 10672)
(10666, "o2", 10684)
(2647, "o8", 15769)
(15769, "x1", 15772)
(15769, "x2", 15778)
(15769, "x6", 16498)
(460, "x8", 7021)
(7021, "o1", 7027)
(7021, "o2", 7039)
(7021, "o6", 8479)
(8479, "x1", 8482)
(8479, "x2", 8488)
(8479, "x7", 10666)
(7021, "o7", 11395)
(11395, "x1", 11398)
(11395, "x2", 11404)
(11395, "x6", 12124)
(298, "o6", 1756)
(1756, "x1", 1759)
(1756, "x2", 1765)
(1756, "x4", 1837)
(1756, "x7", 3943)
(3943, "o1", 3949)
(3943, "o2", 3961)
(3943, "o4", 4105)
(3943, "o8", 17065)
(17065, "x1", 17068)
(17065, "x2", 17074)
(17065, "x4", 17146)
(1756, "x8", 8317)
(8317, "o1", 8323)
(8317, "o2", 8335)
(8317, "o4", 8479)
(8317, "o7", 12691)
(12691, "x1", 12694)
(12691, "x2", 12700)
(12691, "x4", 12772)
(298, "o7", 4672)
(4672, "x1", 4675)
(4672, "x2", 4681)
(4672, "x4", 4753)
(4672, "x6", 5401)
(5401, "o1", 5407)
(5401, "o2", 5419)
(5401, "o4", 5563)
(5401, "o8", 18523)
(18523, "x1", 18526)
(18523, "x2", 18532)
(18523, "x4", 18604)
(4672, "x8", 11233)
(11233, "o1", 11239)
(11233, "o2", 11251)
(11233, "o4", 11395)
(11233, "o6", 12691)
(298, "o8", 13420)
(13420, "x1", 13423)
(13420, "x2", 13429)
(13420, "x4", 13501)
(13420, "x6", 14149)
(14149, "o1", 14155)
(14149, "o2", 14167)
(14149, "o4", 14311)
(14149, "o7", 18523)
(13420, "x7", 15607)
(15607, "o1", 15613)
(15607, "o2", 15625)
(15607, "o4", 15769)
(15607, "o6", 17065)
(55, "x6", 784)
(784, "o1", 790)
(784, "o2", 802)
(784, "o4", 946)
(946, "x1", 949)
(946, "x2", 955)
(946, "x5", 1189)
(946, "x7", 3133)
(3133, "o1", 3139)
(3133, "o2", 3151)
(3133, "o5", 3619)
(3619, "o-won", 19683)
(3133, "o8", 16255)
(16255, "x1", 16258)
(16255, "x2", 16264)
(16255, "x5", 16498)
(946, "x8", 7507)
(7507, "o1", 7513)
(7507, "o2", 7525)
(7507, "o5", 7993)
(7993, "o-won", 19683)
(7507, "o7", 11881)
(11881, "x1", 11884)
(11881, "x2", 11890)
(11881, "x5", 12124)
(784, "o5", 1270)
(1270, "x1", 1273)
(1270, "x2", 1279)
(1270, "x4", 1351)
(1270, "x7", 3457)
(3457, "o1", 3463)
(3457, "o2", 3475)
(3457, "o4", 3619)
(3457, "o8", 16579)
(16579, "x1", 16582)
(16579, "x2", 16588)
(16579, "x4", 16660)
(1270, "x8", 7831)
(7831, "o1", 7837)
(7831, "o2", 7849)
(7831, "o4", 7993)
(7831, "o7", 12205)
(12205, "x1", 12208)
(12205, "x2", 12214)
(12205, "x4", 12286)
(784, "o7", 5158)
(5158, "x1", 5161)
(5158, "x2", 5167)
(5158, "x4", 5239)
(5158, "x5", 5401)
(5158, "x8", 11719)
(11719, "o1", 11725)
(11719, "o2", 11737)
(11719, "o4", 11881)
(11719, "o5", 12205)
(784, "o8", 13906)
(13906, "x1", 13909)
(13906, "x2", 13915)
(13906, "x4", 13987)
(13906, "x5", 14149)
(13906, "x7", 16093)
(16093, "o1", 16099)
(16093, "o2", 16111)
(16093, "o4", 16255)
(16093, "o5", 16579)
(55, "x7", 2242)
(2242, "o1", 2248)
(2242, "o2", 2260)
(2242, "o4", 2404)
(2404, "x1", 2407)
(2404, "x2", 2413)
(2404, "x5", 2647)
(2404, "x6", 3133)
(2404, "x8", 8965)
(8965, "o1", 8971)
(8965, "o2", 8983)
(8965, "o5", 9451)
(9451, "o-won", 19683)
(8965, "o6", 10423)
(10423, "x1", 10426)
(10423, "x2", 10432)
(10423, "x5", 10666)
(2242, "o5", 2728)
(2728, "x1", 2731)
(2728, "x2", 2737)
(2728, "x4", 2809)
(2728, "x6", 3457)
(2728, "x8", 9289)
(9289, "o1", 9295)
(9289, "o2", 9307)
(9289, "o4", 9451)
(9289, "o6", 10747)
(10747, "x1", 10750)
(10747, "x2", 10756)
(10747, "x4", 10828)
(2242, "o6", 3700)
(3700, "x1", 3703)
(3700, "x2", 3709)
(3700, "x4", 3781)
(3700, "x5", 3943)
(3700, "x8", 10261)
(10261, "o1", 10267)
(10261, "o2", 10279)
(10261, "o4", 10423)
(10261, "o5", 10747)
(2242, "o8", 15364)
(15364, "x1", 15367)
(15364, "x2", 15373)
(15364, "x4", 15445)
(15364, "x5", 15607)
(15364, "x6", 16093)
(55, "x8", 6616)
(6616, "o1", 6622)
(6616, "o2", 6634)
(6616, "o4", 6778)
(6778, "x1", 6781)
(6778, "x2", 6787)
(6778, "x5", 7021)
(6778, "x6", 7507)
(6778, "x7", 8965)
(6616, "o5", 7102)
(7102, "x1", 7105)
(7102, "x2", 7111)
(7102, "x4", 7183)
(7102, "x6", 7831)
(7102, "x7", 9289)
(6616, "o6", 8074)
(8074, "x1", 8077)
(8074, "x2", 8083)
(8074, "x4", 8155)
(8074, "x5", 8317)
(8074, "x7", 10261)
(6616, "o7", 10990)
(10990, "x1", 10993)
(10990, "x2", 10999)
(10990, "x4", 11071)
(10990, "x5", 11233)
(10990, "x6", 11719)
(1, "o4", 163)
(163, "x1", 166)
(166, "o2", 184)
(166, "o3", 220)
(166, "o5", 652)
(652, "x2", 661)
(661, "x-won", 19683)
(652, "x3", 679)
(679, "o2", 697)
(679, "o6", 2137)
(2137, "x2", 2146)
(2146, "x-won", 19683)
(2137, "x7", 4324)
(4324, "o2", 4342)
(4324, "o8", 17446)
(17446, "x2", 17455)
(17455, "x-won", 19683)
(2137, "x8", 8698)
(8698, "o2", 8716)
(8698, "o7", 13072)
(13072, "x2", 13081)
(13081, "x-won", 19683)
(679, "o7", 5053)
(5053, "x2", 5062)
(5062, "x-won", 19683)
(5053, "x6", 5782)
(5782, "x-won", 19683)
(5053, "x8", 11614)
(11614, "o2", 11632)
(11614, "o6", 13072)
(679, "o8", 13801)
(13801, "x2", 13810)
(13810, "x-won", 19683)
(13801, "x6", 14530)
(14530, "x-won", 19683)
(13801, "x7", 15988)
(15988, "o2", 16006)
(15988, "o6", 17446)
(652, "x6", 1381)
(1381, "o2", 1399)
(1381, "o3", 1435)
(1381, "o7", 5755)
(5755, "x2", 5764)
(5764, "x-won", 19683)
(5755, "x3", 5782)
(5755, "x8", 12316)
(12316, "o2", 12334)
(12316, "o3", 12370)
(1381, "o8", 14503)
(14503, "x2", 14512)
(14512, "x-won", 19683)
(14503, "x3", 14530)
(14503, "x7", 16690)
(16690, "o2", 16708)
(16690, "o3", 16744)
(652, "x7", 2839)
(2839, "o2", 2857)
(2839, "o3", 2893)
(2839, "o6", 4297)
(4297, "x2", 4306)
(4306, "x-won", 19683)
(4297, "x3", 4324)
(4297, "x8", 10858)
(10858, "o2", 10876)
(10858, "o3", 10912)
(2839, "o8", 15961)
(15961, "x2", 15970)
(15970, "x-won", 19683)
(15961, "x3", 15988)
(15961, "x6", 16690)
(652, "x8", 7213)
(7213, "o2", 7231)
(7213, "o3", 7267)
(7213, "o6", 8671)
(8671, "x2", 8680)
(8680, "x-won", 19683)
(8671, "x3", 8698)
(8671, "x7", 10858)
(7213, "o7", 11587)
(11587, "x2", 11596)
(11596, "x-won", 19683)
(11587, "x3", 11614)
(11587, "x6", 12316)
(166, "o6", 1624)
(1624, "x2", 1633)
(1633, "x-won", 19683)
(1624, "x3", 1651)
(1651, "o2", 1669)
(1651, "o5", 2137)
(1651, "o7", 6025)
(6025, "x2", 6034)
(6034, "x-won", 19683)
(6025, "x5", 6268)
(6268, "o2", 6286)
(6268, "o8", 19390)
(19390, "o-won", 19683)
(6025, "x8", 12586)
(12586, "o2", 12604)
(12586, "o5", 13072)
(1651, "o8", 14773)
(14773, "x2", 14782)
(14782, "x-won", 19683)
(14773, "x5", 15016)
(15016, "o2", 15034)
(15016, "o7", 19390)
(14773, "x7", 16960)
(16960, "o2", 16978)
(16960, "o5", 17446)
(1624, "x5", 1867)
(1867, "o2", 1885)
(1867, "o3", 1921)
(1867, "o7", 6241)
(6241, "x2", 6250)
(6250, "x-won", 19683)
(6241, "x3", 6268)
(6241, "x8", 12802)
(12802, "o2", 12820)
(12802, "o3", 12856)
(1867, "o8", 14989)
(14989, "x2", 14998)
(14998, "x-won", 19683)
(14989, "x3", 15016)
(14989, "x7", 17176)
(17176, "o2", 17194)
(17176, "o3", 17230)
(1624, "x7", 3811)
(3811, "o2", 3829)
(3811, "o3", 3865)
(3811, "o5", 4297)
(3811, "o8", 16933)
(16933, "x2", 16942)
(16942, "x-won", 19683)
(16933, "x3", 16960)
(16933, "x5", 17176)
(1624, "x8", 8185)
(8185, "o2", 8203)
(8185, "o3", 8239)
(8185, "o5", 8671)
(8185, "o7", 12559)
(12559, "x2", 12568)
(12568, "x-won", 19683)
(12559, "x3", 12586)
(12559, "x5", 12802)
(166, "o7", 4540)
(4540, "x2", 4549)
(4549, "x-won", 19683)
(4540, "x3", 4567)
(4567, "o2", 4585)
(4567, "o5", 5053)
(4567, "o6", 6025)
(4567, "o8", 17689)
(17689, "x2", 17698)
(17698, "x-won", 19683)
(17689, "x5", 17932)
(17932, "o2", 17950)
(17932, "o6", 19390)
(17689, "x6", 18418)
(18418, "x-won", 19683)
(4540, "x5", 4783)
(4783, "o2", 4801)
(4783, "o3", 4837)
(4783, "o6", 6241)
(4783, "o8", 17905)
(17905, "x2", 17914)
(17914, "x-won", 19683)
(17905, "x3", 17932)
(17905, "x6", 18634)
(18634, "o2", 18652)
(18634, "o3", 18688)
(4540, "x6", 5269)
(5269, "o2", 5287)
(5269, "o3", 5323)
(5269, "o5", 5755)
(5269, "o8", 18391)
(18391, "x2", 18400)
(18400, "x-won", 19683)
(18391, "x3", 18418)
(18391, "x5", 18634)
(4540, "x8", 11101)
(11101, "o2", 11119)
(11101, "o3", 11155)
(11101, "o5", 11587)
(11101, "o6", 12559)
(166, "o8", 13288)
(13288, "x2", 13297)
(13297, "x-won", 19683)
(13288, "x3", 13315)
(13315, "o2", 13333)
(13315, "o5", 13801)
(13315, "o6", 14773)
(13315, "o7", 17689)
(13288, "x5", 13531)
(13531, "o2", 13549)
(13531, "o3", 13585)
(13531, "o6", 14989)
(13531, "o7", 17905)
(13288, "x6", 14017)
(14017, "o2", 14035)
(14017, "o3", 14071)
(14017, "o5", 14503)
(14017, "o7", 18391)
(13288, "x7", 15475)
(15475, "o2", 15493)
(15475, "o3", 15529)
(15475, "o5", 15961)
(15475, "o6", 16933)
(163, "x2", 172)
(172, "o1", 178)
(172, "o3", 226)
(172, "o5", 658)
(658, "x1", 661)
(658, "x3", 685)
(685, "o1", 691)
(685, "o6", 2143)
(2143, "x1", 2146)
(2143, "x7", 4330)
(4330, "o1", 4336)
(4330, "o8", 17452)
(17452, "x1", 17455)
(2143, "x8", 8704)
(8704, "o1", 8710)
(8704, "o7", 13078)
(13078, "x1", 13081)
(685, "o7", 5059)
(5059, "x1", 5062)
(5059, "x6", 5788)
(5788, "x-won", 19683)
(5059, "x8", 11620)
(11620, "o1", 11626)
(11620, "o6", 13078)
(685, "o8", 13807)
(13807, "x1", 13810)
(13807, "x6", 14536)
(14536, "x-won", 19683)
(13807, "x7", 15994)
(15994, "o1", 16000)
(15994, "o6", 17452)
(658, "x6", 1387)
(1387, "o1", 1393)
(1387, "o3", 1441)
(1387, "o7", 5761)
(5761, "x1", 5764)
(5761, "x3", 5788)
(5761, "x8", 12322)
(12322, "o1", 12328)
(12322, "o3", 12376)
(1387, "o8", 14509)
(14509, "x1", 14512)
(14509, "x3", 14536)
(14509, "x7", 16696)
(16696, "o1", 16702)
(16696, "o3", 16750)
(658, "x7", 2845)
(2845, "o1", 2851)
(2845, "o3", 2899)
(2845, "o6", 4303)
(4303, "x1", 4306)
(4303, "x3", 4330)
(4303, "x8", 10864)
(10864, "o1", 10870)
(10864, "o3", 10918)
(2845, "o8", 15967)
(15967, "x1", 15970)
(15967, "x3", 15994)
(15967, "x6", 16696)
(658, "x8", 7219)
(7219, "o1", 7225)
(7219, "o3", 7273)
(7219, "o6", 8677)
(8677, "x1", 8680)
(8677, "x3", 8704)
(8677, "x7", 10864)
(7219, "o7", 11593)
(11593, "x1", 11596)
(11593, "x3", 11620)
(11593, "x6", 12322)
(172, "o6", 1630)
(1630, "x1", 1633)
(1630, "x3", 1657)
(1657, "o1", 1663)
(1657, "o5", 2143)
(1657, "o7", 6031)
(6031, "x1", 6034)
(6031, "x5", 6274)
(6274, "o1", 6280)
(6274, "o8", 19396)
(19396, "o-won", 19683)
(6031, "x8", 12592)
(12592, "o1", 12598)
(12592, "o5", 13078)
(1657, "o8", 14779)
(14779, "x1", 14782)
(14779, "x5", 15022)
(15022, "o1", 15028)
(15022, "o7", 19396)
(14779, "x7", 16966)
(16966, "o1", 16972)
(16966, "o5", 17452)
(1630, "x5", 1873)
(1873, "o1", 1879)
(1873, "o3", 1927)
(1873, "o7", 6247)
(6247, "x1", 6250)
(6247, "x3", 6274)
(6247, "x8", 12808)
(12808, "x-won", 19683)
(1873, "o8", 14995)
(14995, "x1", 14998)
(14995, "x3", 15022)
(14995, "x7", 17182)
(17182, "o1", 17188)
(17182, "o3", 17236)
(1630, "x7", 3817)
(3817, "o1", 3823)
(3817, "o3", 3871)
(3817, "o5", 4303)
(3817, "o8", 16939)
(16939, "x1", 16942)
(16939, "x3", 16966)
(16939, "x5", 17182)
(1630, "x8", 8191)
(8191, "o1", 8197)
(8191, "o3", 8245)
(8191, "o5", 8677)
(8191, "o7", 12565)
(12565, "x1", 12568)
(12565, "x3", 12592)
(12565, "x5", 12808)
(172, "o7", 4546)
(4546, "x1", 4549)
(4546, "x3", 4573)
(4573, "o1", 4579)
(4573, "o5", 5059)
(4573, "o6", 6031)
(4573, "o8", 17695)
(17695, "x1", 17698)
(17695, "x5", 17938)
(17938, "o1", 17944)
(17938, "o6", 19396)
(17695, "x6", 18424)
(18424, "x-won", 19683)
(4546, "x5", 4789)
(4789, "o1", 4795)
(4789, "o3", 4843)
(4789, "o6", 6247)
(4789, "o8", 17911)
(17911, "x1", 17914)
(17911, "x3", 17938)
(17911, "x6", 18640)
(18640, "o1", 18646)
(18640, "o3", 18694)
(4546, "x6", 5275)
(5275, "o1", 5281)
(5275, "o3", 5329)
(5275, "o5", 5761)
(5275, "o8", 18397)
(18397, "x1", 18400)
(18397, "x3", 18424)
(18397, "x5", 18640)
(4546, "x8", 11107)
(11107, "o1", 11113)
(11107, "o3", 11161)
(11107, "o5", 11593)
(11107, "o6", 12565)
(172, "o8", 13294)
(13294, "x1", 13297)
(13294, "x3", 13321)
(13321, "o1", 13327)
(13321, "o5", 13807)
(13321, "o6", 14779)
(13321, "o7", 17695)
(13294, "x5", 13537)
(13537, "o1", 13543)
(13537, "o3", 13591)
(13537, "o6", 14995)
(13537, "o7", 17911)
(13294, "x6", 14023)
(14023, "o1", 14029)
(14023, "o3", 14077)
(14023, "o5", 14509)
(14023, "o7", 18397)
(13294, "x7", 15481)
(15481, "o1", 15487)
(15481, "o3", 15535)
(15481, "o5", 15967)
(15481, "o6", 16939)
(163, "x3", 190)
(190, "o1", 196)
(190, "o2", 208)
(190, "o5", 676)
(676, "x1", 679)
(676, "x2", 685)
(676, "x6", 1405)
(1405, "x-won", 19683)
(676, "x7", 2863)
(2863, "o1", 2869)
(2863, "o2", 2881)
(2863, "o6", 4321)
(4321, "x1", 4324)
(4321, "x2", 4330)
(4321, "x8", 10882)
(10882, "o1", 10888)
(10882, "o2", 10900)
(2863, "o8", 15985)
(15985, "x1", 15988)
(15985, "x2", 15994)
(15985, "x6", 16714)
(16714, "x-won", 19683)
(676, "x8", 7237)
(7237, "o1", 7243)
(7237, "o2", 7255)
(7237, "o6", 8695)
(8695, "x1", 8698)
(8695, "x2", 8704)
(8695, "x7", 10882)
(7237, "o7", 11611)
(11611, "x1", 11614)
(11611, "x2", 11620)
(11611, "x6", 12340)
(12340, "x-won", 19683)
(190, "o6", 1648)
(1648, "x1", 1651)
(1648, "x2", 1657)
(1648, "x5", 1891)
(1891, "o1", 1897)
(1891, "o2", 1909)
(1891, "o7", 6265)
(6265, "x1", 6268)
(6265, "x2", 6274)
(6265, "x8", 12826)
(12826, "o1", 12832)
(12826, "o2", 12844)
(1891, "o8", 15013)
(15013, "x1", 15016)
(15013, "x2", 15022)
(15013, "x7", 17200)
(17200, "o1", 17206)
(17200, "o2", 17218)
(1648, "x7", 3835)
(3835, "o1", 3841)
(3835, "o2", 3853)
(3835, "o5", 4321)
(3835, "o8", 16957)
(16957, "x1", 16960)
(16957, "x2", 16966)
(16957, "x5", 17200)
(1648, "x8", 8209)
(8209, "o1", 8215)
(8209, "o2", 8227)
(8209, "o5", 8695)
(8209, "o7", 12583)
(12583, "x1", 12586)
(12583, "x2", 12592)
(12583, "x5", 12826)
(190, "o7", 4564)
(4564, "x1", 4567)
(4564, "x2", 4573)
(4564, "x5", 4807)
(4807, "o1", 4813)
(4807, "o2", 4825)
(4807, "o6", 6265)
(4807, "o8", 17929)
(17929, "x1", 17932)
(17929, "x2", 17938)
(17929, "x6", 18658)
(18658, "x-won", 19683)
(4564, "x6", 5293)
(5293, "x-won", 19683)
(4564, "x8", 11125)
(11125, "o1", 11131)
(11125, "o2", 11143)
(11125, "o5", 11611)
(11125, "o6", 12583)
(190, "o8", 13312)
(13312, "x1", 13315)
(13312, "x2", 13321)
(13312, "x5", 13555)
(13555, "o1", 13561)
(13555, "o2", 13573)
(13555, "o6", 15013)
(13555, "o7", 17929)
(13312, "x6", 14041)
(14041, "x-won", 19683)
(13312, "x7", 15499)
(15499, "o1", 15505)
(15499, "o2", 15517)
(15499, "o5", 15985)
(15499, "o6", 16957)
(163, "x5", 406)
(406, "o1", 412)
(406, "o2", 424)
(406, "o3", 460)
(406, "o6", 1864)
(1864, "x1", 1867)
(1864, "x2", 1873)
(1864, "x3", 1891)
(1864, "x7", 4051)
(4051, "o1", 4057)
(4051, "o2", 4069)
(4051, "o3", 4105)
(4051, "o8", 17173)
(17173, "x1", 17176)
(17173, "x2", 17182)
(17173, "x3", 17200)
(1864, "x8", 8425)
(8425, "o1", 8431)
(8425, "o2", 8443)
(8425, "o3", 8479)
(8425, "o7", 12799)
(12799, "x1", 12802)
(12799, "x2", 12808)
(12799, "x3", 12826)
(406, "o7", 4780)
(4780, "x1", 4783)
(4780, "x2", 4789)
(4780, "x3", 4807)
(4780, "x6", 5509)
(5509, "o1", 5515)
(5509, "o2", 5527)
(5509, "o3", 5563)
(5509, "o8", 18631)
(18631, "x1", 18634)
(18631, "x2", 18640)
(18631, "x3", 18658)
(4780, "x8", 11341)
(11341, "o1", 11347)
(11341, "o2", 11359)
(11341, "o3", 11395)
(11341, "o6", 12799)
(406, "o8", 13528)
(13528, "x1", 13531)
(13528, "x2", 13537)
(13528, "x3", 13555)
(13528, "x6", 14257)
(14257, "o1", 14263)
(14257, "o2", 14275)
(14257, "o3", 14311)
(14257, "o7", 18631)
(13528, "x7", 15715)
(15715, "o1", 15721)
(15715, "o2", 15733)
(15715, "o3", 15769)
(15715, "o6", 17173)
(163, "x6", 892)
(892, "o1", 898)
(892, "o2", 910)
(892, "o3", 946)
(892, "o5", 1378)
(1378, "x1", 1381)
(1378, "x2", 1387)
(1378, "x3", 1405)
(1378, "x7", 3565)
(3565, "o1", 3571)
(3565, "o2", 3583)
(3565, "o3", 3619)
(3565, "o8", 16687)
(16687, "x1", 16690)
(16687, "x2", 16696)
(16687, "x3", 16714)
(1378, "x8", 7939)
(7939, "o1", 7945)
(7939, "o2", 7957)
(7939, "o3", 7993)
(7939, "o7", 12313)
(12313, "x1", 12316)
(12313, "x2", 12322)
(12313, "x3", 12340)
(892, "o7", 5266)
(5266, "x1", 5269)
(5266, "x2", 5275)
(5266, "x3", 5293)
(5266, "x5", 5509)
(5266, "x8", 11827)
(11827, "o1", 11833)
(11827, "o2", 11845)
(11827, "o3", 11881)
(11827, "o5", 12313)
(892, "o8", 14014)
(14014, "x1", 14017)
(14014, "x2", 14023)
(14014, "x3", 14041)
(14014, "x5", 14257)
(14014, "x7", 16201)
(16201, "o1", 16207)
(16201, "o2", 16219)
(16201, "o3", 16255)
(16201, "o5", 16687)
(163, "x7", 2350)
(2350, "o1", 2356)
(2350, "o2", 2368)
(2350, "o3", 2404)
(2350, "o5", 2836)
(2836, "x1", 2839)
(2836, "x2", 2845)
(2836, "x3", 2863)
(2836, "x6", 3565)
(2836, "x8", 9397)
(9397, "o1", 9403)
(9397, "o2", 9415)
(9397, "o3", 9451)
(9397, "o6", 10855)
(10855, "x1", 10858)
(10855, "x2", 10864)
(10855, "x3", 10882)
(2350, "o6", 3808)
(3808, "x1", 3811)
(3808, "x2", 3817)
(3808, "x3", 3835)
(3808, "x5", 4051)
(3808, "x8", 10369)
(10369, "o1", 10375)
(10369, "o2", 10387)
(10369, "o3", 10423)
(10369, "o5", 10855)
(2350, "o8", 15472)
(15472, "x1", 15475)
(15472, "x2", 15481)
(15472, "x3", 15499)
(15472, "x5", 15715)
(15472, "x6", 16201)
(163, "x8", 6724)
(6724, "o1", 6730)
(6724, "o2", 6742)
(6724, "o3", 6778)
(6724, "o5", 7210)
(7210, "x1", 7213)
(7210, "x2", 7219)
(7210, "x3", 7237)
(7210, "x6", 7939)
(7210, "x7", 9397)
(6724, "o6", 8182)
(8182, "x1", 8185)
(8182, "x2", 8191)
(8182, "x3", 8209)
(8182, "x5", 8425)
(8182, "x7", 10369)
(6724, "o7", 11098)
(11098, "x1", 11101)
(11098, "x2", 11107)
(11098, "x3", 11125)
(11098, "x5", 11341)
(11098, "x6", 11827)
(1, "o5", 487)
(487, "x1", 490)
(490, "o2", 508)
(490, "o3", 544)
(490, "o4", 652)
(490, "o6", 1948)
(1948, "x2", 1957)
(1957, "x-won", 19683)
(1948, "x3", 1975)
(1975, "o2", 1993)
(1975, "o4", 2137)
(1975, "o7", 6349)
(6349, "x2", 6358)
(6358, "x-won", 19683)
(6349, "x4", 6430)
(6430, "o2", 6448)
(6430, "o8", 19552)
(19552, "o-won", 19683)
(6349, "x8", 12910)
(12910, "o2", 12928)
(12910, "o4", 13072)
(1975, "o8", 15097)
(15097, "x2", 15106)
(15106, "x-won", 19683)
(15097, "x4", 15178)
(15178, "o2", 15196)
(15178, "o7", 19552)
(15097, "x7", 17284)
(17284, "o2", 17302)
(17284, "o4", 17446)
(1948, "x4", 2029)
(2029, "o2", 2047)
(2029, "o3", 2083)
(2029, "o7", 6403)
(6403, "x2", 6412)
(6412, "x-won", 19683)
(6403, "x3", 6430)
(6403, "x8", 12964)
(12964, "x-won", 19683)
(2029, "o8", 15151)
(15151, "x2", 15160)
(15160, "x-won", 19683)
(15151, "x3", 15178)
(15151, "x7", 17338)
(17338, "x-won", 19683)
(1948, "x7", 4135)
(4135, "o2", 4153)
(4135, "o3", 4189)
(4135, "o4", 4297)
(4135, "o8", 17257)
(17257, "x2", 17266)
(17266, "x-won", 19683)
(17257, "x3", 17284)
(17257, "x4", 17338)
(1948, "x8", 8509)
(8509, "o2", 8527)
(8509, "o3", 8563)
(8509, "o4", 8671)
