des(0, 17109, 19683)
(1132, "o8", 14254)
(14254, "x7", 16441)
(403, "x7", 2590)
(2590, "o6", 4048)
(4048, "x8", 10609)
(10609, "x-won", 19683)
(2590, "o8", 15712)
(15712, "x6", 16441)
(403, "x8", 6964)
(6964, "x-won", 19683)
(349, "o6", 1807)
(1807, "x3", 1834)
(1807, "x7", 3994)
(3994, "o3", 4048)
(3994, "o8", 17116)
(17116, "x3", 17143)
(1807, "x8", 8368)
(8368, "x-won", 19683)
(349, "o7", 4723)
(4723, "x3", 4750)
(4723, "x6", 5452)
(5452, "o3", 5506)
(5452, "o8", 18574)
(18574, "x3", 18601)
(18601, "x-won", 19683)
(4723, "x8", 11284)
(11284, "x-won", 19683)
(349, "o8", 13471)
(13471, "x3", 13498)
(13471, "x6", 14200)
(14200, "o3", 14254)
(14200, "o7", 18574)
(13471, "x7", 15658)
(15658, "o3", 15712)
(15658, "o6", 17116)
(106, "x6", 835)
(835, "o3", 889)
(889, "x5", 1132)
(889, "x7", 3076)
(3076, "o5", 3562)
(3562, "x8", 10123)
(10123, "x-won", 19683)
(3076, "o8", 16198)
(16198, "x5", 16441)
(889, "x8", 7450)
(7450, "x-won", 19683)
(835, "o5", 1321)
(1321, "x3", 1348)
(1321, "x7", 3508)
(3508, "o3", 3562)
(3508, "o8", 16630)
(16630, "o-won", 19683)
(1321, "x8", 7882)
(7882, "x-won", 19683)
(835, "o7", 5209)
(5209, "x3", 5236)
(5209, "x5", 5452)
(5209, "x8", 11770)
(11770, "x-won", 19683)
(835, "o8", 13957)
(13957, "x3", 13984)
(13957, "x5", 14200)
(13957, "x7", 16144)
(16144, "o3", 16198)
(16144, "o5", 16630)
(106, "x7", 2293)
(2293, "o3", 2347)
(2347, "x5", 2590)
(2347, "x6", 3076)
(2347, "x8", 8908)
(8908, "x-won", 19683)
(2293, "o5", 2779)
(2779, "x3", 2806)
(2779, "x6", 3508)
(2779, "x8", 9340)
(9340, "x-won", 19683)
(2293, "o6", 3751)
(3751, "x3", 3778)
(3751, "x5", 3994)
(3751, "x8", 10312)
(10312, "x-won", 19683)
(2293, "o8", 15415)
(15415, "x3", 15442)
(15415, "x5", 15658)
(15415, "x6", 16144)
(106, "x8", 6667)
(6667, "x-won", 19683)
(88, "o3", 142)
(142, "x2", 151)
(142, "x5", 385)
(385, "o2", 403)
(385, "o6", 1843)
(1843, "x2", 1852)
(1843, "x7", 4030)
(4030, "o2", 4048)
(4030, "o8", 17152)
(17152, "x2", 17161)
(1843, "x8", 8404)
(8404, "x-won", 19683)
(385, "o7", 4759)
(4759, "x2", 4768)
(4759, "x6", 5488)
(5488, "o2", 5506)
(5488, "o8", 18610)
(18610, "x2", 18619)
(4759, "x8", 11320)
(11320, "x-won", 19683)
(385, "o8", 13507)
(13507, "x2", 13516)
(13507, "x6", 14236)
(14236, "o2", 14254)
(14236, "o7", 18610)
(13507, "x7", 15694)
(15694, "o2", 15712)
(15694, "o6", 17152)
(142, "x6", 871)
(871, "o2", 889)
(871, "o5", 1357)
(1357, "x2", 1366)
(1357, "x7", 3544)
(3544, "o2", 3562)
(3544, "o8", 16666)
(16666, "x2", 16675)
(1357, "x8", 7918)
(7918, "x-won", 19683)
(871, "o7", 5245)
(5245, "x2", 5254)
(5245, "x5", 5488)
(5245, "x8", 11806)
(11806, "x-won", 19683)
(871, "o8", 13993)
(13993, "x2", 14002)
(13993, "x5", 14236)
(13993, "x7", 16180)
(16180, "o2", 16198)
(16180, "o5", 16666)
(142, "x7", 2329)
(2329, "o2", 2347)
(2329, "o5", 2815)
(2815, "x2", 2824)
(2815, "x6", 3544)
(2815, "x8", 9376)
(9376, "x-won", 19683)
(2329, "o6", 3787)
(3787, "x2", 3796)
(3787, "x5", 4030)
(3787, "x8", 10348)
(10348, "x-won", 19683)
(2329, "o8", 15451)
(15451, "x2", 15460)
(15451, "x5", 15694)
(15451, "x6", 16180)
(142, "x8", 6703)
(6703, "x-won", 19683)
(88, "o5", 574)
(574, "x2", 583)
(574, "x3", 601)
(574, "x6", 1303)
(1303, "o2", 1321)
(1303, "o3", 1357)
(1303, "o7", 5677)
(5677, "x2", 5686)
(5677, "x3", 5704)
(5677, "x8", 12238)
(12238, "x-won", 19683)
(1303, "o8", 14425)
(14425, "x2", 14434)
(14425, "x3", 14452)
